"","...1","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"1","daily_S",23.3,19.9,18.7,NA,17.4,NA,16.8,NA,15.7,NA,NA,14.9,NA,NA,14.8,NA,15,NA,12.4,NA,14.4,NA,NA,14,NA,11.8,NA,NA,11.1,NA,10.7,NA,NA,10.5,NA,10,NA,10.2
"2","ex_daily_S",NA,NA,3.7,NA,3.2,NA,3.2,NA,2.3,NA,NA,2.9,NA,NA,4.8,NA,3.8,NA,3.8,NA,2.7,NA,NA,4.5,NA,5.1,NA,NA,4.8,NA,5.8,NA,NA,5.6,NA,4.5,NA,4.3
"3","daily_S_male",39.7,34.4,32.8,NA,30.6,NA,30,NA,28.5,NA,NA,27.2,NA,NA,26.7,NA,27.1,NA,22,NA,26.1,NA,NA,24.5,NA,20.5,NA,NA,19.9,NA,19.1,NA,NA,18.6,NA,18.1,NA,18.1
"4","daily_S_female",5.6,4.8,4.1,NA,3.8,NA,2.9,NA,2.6,NA,NA,2.7,NA,NA,3.1,NA,2.9,NA,3.5,NA,3.6,NA,NA,4,NA,3.6,NA,NA,3,NA,3.1,NA,NA,3.2,NA,2.7,NA,3.2
"5","daily_S_15_19",4.2,3.4,2.3,NA,4,NA,3.4,NA,4.6,NA,NA,4.2,NA,NA,3.8,NA,2.8,NA,4.5,NA,3.8,NA,NA,3.5,NA,2.4,NA,NA,2.5,NA,2,NA,NA,1.1,NA,1,NA,NA
"6","daily_S_20_29",17.5,14.1,14.1,NA,13.2,NA,12.1,NA,12.8,NA,NA,12.5,NA,NA,12.5,NA,13.8,NA,12.1,NA,14.4,NA,NA,14.3,NA,12.2,NA,NA,9.7,NA,7.7,NA,NA,7.9,NA,6.7,NA,5.7
"7","daily_S_30_39",25.9,21.5,19.4,NA,18.4,NA,19.6,NA,16.3,NA,NA,14.8,NA,NA,15.2,NA,15.7,NA,12.1,NA,14.7,NA,NA,16.6,NA,15.3,NA,NA,14.4,NA,14.3,NA,NA,13.2,NA,11.2,NA,11.6
"8","daily_S_40_49",32.8,26.9,24.3,NA,22.1,NA,21.2,NA,20.8,NA,NA,18.6,NA,NA,16.8,NA,18.3,NA,14.1,NA,16,NA,NA,14.9,NA,13.2,NA,NA,12.7,NA,13.4,NA,NA,14,NA,14.5,NA,13.4
"9","daily_S_50_59",35.4,31.2,29.2,NA,25.5,NA,23.9,NA,21.2,NA,NA,20.7,NA,NA,20.9,NA,19.9,NA,14.8,NA,17.9,NA,NA,15.4,NA,13.2,NA,NA,13.1,NA,13,NA,NA,11.9,NA,11.5,NA,13.5
"10","daily_S_60+",31.1,27.8,26.2,NA,22.8,NA,20.2,NA,17.7,NA,NA,16.3,NA,NA,16.1,NA,13.9,NA,12.9,NA,14,NA,NA,13.2,NA,9.2,NA,NA,9.2,NA,8.6,NA,NA,9,NA,8.7,NA,9.1
"11","daily_S_male_15_19",7.9,6.3,4.6,NA,7.3,NA,5.5,NA,7.8,NA,NA,7.5,NA,NA,5.9,NA,4.2,NA,6.4,NA,5.3,NA,NA,4.9,NA,3.5,NA,NA,3.7,NA,3.1,NA,NA,1.4,NA,1.6,NA,NA
"12","daily_S_male_20_29",32,26.1,26,NA,24.7,NA,22.4,NA,23.5,NA,NA,23.8,NA,NA,23,NA,24.1,NA,19.9,NA,23.2,NA,NA,20.9,NA,18.4,NA,NA,15.2,NA,13,NA,NA,11.9,NA,11.6,NA,9
